subject_code,topic,stem,choice_a,choice_b,choice_c,choice_d,correct,explanation,difficulty
"RFBT","Partnership Law","Partner Xander, a managing partner appointed in the articles of partnership, is sought to be removed by the other partners who together hold the controlling interest. What vote and ground are required?","He may be removed at any time without cause by a simple majority","He may not be removed during the life of the partnership","He may be removed only by unanimous vote and any cause","He may be removed only for a just and lawful cause by the vote of the partners holding the controlling interest","D","A managing partner appointed in the articles of partnership may be removed only for just and lawful cause and by the vote of the partners owning the controlling interest; if appointed after the partnership is constituted, he may be removed even without cause.","3"
"RFBT","Partnership Law","Yolanda assigned her entire interest in the profits of YZ Partnership to her creditor Zenaida. What right does Zenaida acquire?","Full rights as a substitute partner including management","The right to receive the profits to which Yolanda would otherwise be entitled, but not to interfere in management or inspect the books","The right to demand immediate dissolution","No right at all, since partnership interests are non-assignable","B","A conveyance by a partner of her interest does not make the assignee a partner; the assignee is merely entitled to receive the profits the assigning partner would otherwise receive and cannot interfere in management or require accounts.","2"
"RFBT","Revised Corporation Code","Under RA 11232, what is the permissible range in the number of incorporators of a stock corporation, other than a One Person Corporation?","Five to eleven","One to fifteen","Five to fifteen","Two to fifteen","B","The Revised Corporation Code allows one to fifteen incorporators, who may be natural persons, partnerships, associations, or corporations; a single stockholder may form a One Person Corporation.","1"
"RFBT","Revised Corporation Code","Maria organized a corporation but the law does not require a minimum capital stock for her line of business. What is the rule on minimum capital under the RCC?","Stock corporations are generally not required to have a minimum capital stock unless a special law provides otherwise","At least twenty-five percent of authorized capital must always be P25,000","A minimum paid-up capital of P5,000 is always required","A minimum subscribed capital of P50,000 is mandatory","A","The RCC removed the general minimum capital stock requirement; stock corporations need not have a minimum capital stock except as specifically provided by special law or regulation.","1"
"RFBT","Revised Corporation Code","Absent any contrary provision in its articles of incorporation, what is the corporate term of a corporation organized under the RCC?","Fifty years, renewable once","Perpetual existence","Twenty years, renewable indefinitely","Thirty years, non-renewable","B","Under the RCC, a corporation has perpetual existence unless its articles of incorporation provide otherwise; corporations existing prior to the RCC are also deemed to have perpetual term unless they elect to retain a fixed term.","1"
"RFBT","Revised Corporation Code","The board of Bayanihan Corp wishes to extend the corporate term. What stockholder approval is required in addition to majority board approval?","A simple majority of the outstanding capital stock","Unanimous approval of all stockholders","No stockholder vote, only board approval","The vote of stockholders representing at least two-thirds of the outstanding capital stock","D","Extension or shortening of the corporate term requires approval by a majority of the board and the vote of stockholders representing at least two-thirds of the outstanding capital stock, with appraisal rights available to dissenters.","2"
"RFBT","Revised Corporation Code","Five friends operated a business as a corporation, but their articles were never validly filed due to a fatal defect, though they acted in good faith under color of a valid incorporation. How are they best characterized?","A de jure corporation in all respects","A corporation by estoppel only","A de facto corporation, whose existence may be questioned only by the State in a direct proceeding","A general partnership with no corporate attributes","C","A de facto corporation exists where there is a valid law, a bona fide attempt to incorporate, and actual use of corporate powers; its existence may be attacked only by the State through quo warranto, not collaterally by private parties.","2"
"RFBT","Revised Corporation Code","Several persons misrepresented their group as a corporation to a supplier and incurred debts though no incorporation was ever attempted. When the supplier sues, what doctrine prevents them from denying corporate existence to escape liability?","Corporation by estoppel, under which those assuming to act as a corporation are liable as general partners","De facto corporation doctrine","The trust fund doctrine","The doctrine of separate juridical personality","A","Persons who assume to act as a corporation knowing it to be without authority are liable as general partners; one who deals with them as a corporation is estopped, and they are likewise estopped from denying corporate existence to avoid liability.","2"
"RFBT","Revised Corporation Code","The directors of Sampaguita Inc caused the corporation to assume an obligation purely to benefit a director personally, draining corporate funds to defraud creditors. A court is asked to disregard the corporate fiction. This remedy is known as:","Quo warranto","The business judgment rule","Ultra vires nullification","Piercing the veil of corporate fiction","D","Piercing the veil of corporate fiction allows courts to disregard the separate personality where it is used to defeat public convenience, justify wrong, protect fraud, or defend crime, holding the responsible persons liable.","2"
"RFBT","Revised Corporation Code","What is the term of office of directors and of trustees, respectively, under the RCC?","Directors one year and trustees three years","Both one year","Both three years","Directors three years and trustees one year","A","Directors of stock corporations are elected for a term of one year, while trustees of non-stock corporations serve for a term of three years, with staggered terms so that approximately one-third are elected annually.","1"
"RFBT","Revised Corporation Code","Roberto owns 1,000 shares in a corporation electing five directors. Applying cumulative voting, what is the maximum number of votes he may cast for a single nominee?","1,000 votes","500 votes","5,000 votes","25,000 votes","C","Under cumulative voting, a stockholder may multiply his shares by the number of directors to be elected and cast all such votes for one candidate; 1,000 shares times 5 directors equals 5,000 votes for a single nominee.","2"
"RFBT","Revised Corporation Code","A corporation vested with public interest must have independent directors. Who is an independent director under the RCC?","Any director who owns less than five percent of shares","A person who, apart from shareholdings and fees, is independent of management and free from any relationship that could materially interfere with independent judgment","A director appointed by the SEC","The corporate secretary","B","An independent director is one who, apart from shareholdings and fees received, is independent of management and free from any business or other relationship that could materially interfere with the exercise of independent judgment.","2"
"RFBT","Revised Corporation Code","Which combination of officer qualifications is correct under the RCC?","The president need not be a director but must be a citizen","The president must be a director, the treasurer must be a resident of the Philippines, and the secretary must be a citizen and resident of the Philippines","The treasurer must be a director and a citizen","The secretary must be a director and a resident","B","Under the RCC, the president must be a director; the treasurer must be a resident of the Philippines; and the corporate secretary must be both a citizen and a resident of the Philippines.","2"
"RFBT","Revised Corporation Code","Director Lorna learned of a business opportunity that belonged to the corporation but took it for herself, profiting personally. Under the corporate opportunity doctrine, what is her obligation?","She may keep the profit because directors owe no duty regarding outside opportunities","She must merely disclose the opportunity afterward with no liability","She forfeits her shares automatically","She must account to the corporation for all profits, unless her act is ratified by the vote of stockholders representing two-thirds of the outstanding capital stock","D","A director who acquires for himself a business opportunity that should belong to the corporation must account for the profits by refunding them, unless the act is ratified by stockholders owning two-thirds of the outstanding capital stock.","2"
"RFBT","Revised Corporation Code","Which corporate act requires only the approval of a majority of the board together with the vote or written assent of stockholders representing two-thirds of the outstanding capital stock?","Increase of the authorized capital stock","Declaration of cash dividends","Filling of an ordinary vacancy in the board not due to expiration of term","Adoption of an ordinary contract in the usual course of business","A","Increasing or decreasing the capital stock, incurring bonded indebtedness, selling all or substantially all assets, investing in another business, and similar major acts require board majority plus stockholders representing two-thirds of the outstanding capital stock.","2"
"RFBT","Revised Corporation Code","A corporation has paid-in capital of P10,000,000 and retained earnings of P12,000,000 with no justified reason to retain the surplus. What is the maximum it may retain without violating the RCC?","P12,000,000, since there is no limit on retained earnings","P10,000,000, since retained earnings in excess of 100 percent of paid-in capital must generally be declared as dividends","P5,000,000, equal to half the paid-in capital","Nothing, all earnings must be distributed","B","Stock corporations are prohibited from retaining surplus profits in excess of 100 percent of paid-in capital, subject to exceptions such as definite corporate expansion projects, loan covenants, or special circumstances justifying retention.","3"
"RFBT","Revised Corporation Code","Treasury shares reacquired by a corporation are held in its name. What is their status as to voting and dividends?","They retain full voting and dividend rights","They have voting rights but no dividend rights","They have no voting rights and are not entitled to dividends while held in the treasury","They have dividend rights but no voting rights","C","Treasury shares are shares previously issued and fully paid but subsequently reacquired by the corporation; while held in the treasury they have no voting rights and earn no dividends because they are not considered outstanding.","2"
"RFBT","Revised Corporation Code","In a delinquency sale of subscribed but unpaid shares, who is declared the winning bidder?","The bidder who offers the highest cash price per share","The bidder who offers to pay the full balance due plus costs for the smallest number of shares","The bidder willing to take the largest number of shares","The first registered bidder regardless of price","B","In a delinquency sale, the highest bidder is the person willing to pay the full amount of the balance due plus accrued interest, costs, and expenses for the smallest number of shares, with the remaining shares credited to the delinquent stockholder.","3"
"RFBT","Revised Corporation Code","On what matter may holders of non-voting shares nonetheless vote under the RCC?","On the sale of all or substantially all of the corporate property and assets","On the election of the regular board of directors","On the approval of ordinary management contracts","On the declaration of cash dividends","A","Non-voting shares may still vote on certain fundamental matters, including amendment of the articles, sale of all or substantially all assets, incurring bonded indebtedness, merger or consolidation, increase or decrease of capital, investment in another corporation, and dissolution.","2"
"RFBT","Revised Corporation Code","No-par value shares of a stock corporation under the RCC may not be issued for a consideration of less than what amount per share?","One peso","Ten pesos","Five pesos","No floor exists","C","No-par value shares may not be issued for a consideration less than five pesos per share, and the entire consideration received constitutes capital not available for dividend distribution.","2"
"RFBT","Revised Corporation Code","A proxy was executed without a stated period of effectivity. For how long is such a proxy valid under the RCC?","Five years from execution","It is valid only for the meeting for which it was intended","One year regardless of the meeting","Indefinitely until revoked","B","A proxy is valid only for the meeting for which it was intended unless otherwise provided; in no case may a proxy be valid and effective for a period longer than five years at any one time.","2"
"RFBT","Revised Corporation Code","Two corporations undergo a merger. After the merger takes effect, what happens to the liabilities of the absorbed corporation?","The liabilities are extinguished by operation of law","The surviving corporation assumes all the liabilities and obligations of the absorbed corporation","The liabilities become the personal obligations of the former directors","The liabilities must be separately assumed by written novation","B","In a merger, the surviving corporation possesses all the rights and properties and assumes all the liabilities and obligations of the constituent corporations as though it had incurred them itself.","2"
"RFBT","Revised Corporation Code","After a corporation is dissolved, for how long does it continue as a body corporate for the purpose of winding up its affairs?","Five years from dissolution","One year from dissolution","Three years from dissolution","Indefinitely until all assets are distributed","C","A dissolved corporation continues as a body corporate for three years after dissolution for the purpose of prosecuting and defending suits, settling affairs, disposing of property, and distributing assets, but not to continue its business.","2"
"RFBT","Revised Corporation Code","Which statement about a One Person Corporation under the RCC is correct?","It must have at least two incorporators","It is not required to have a minimum authorized capital stock unless a special law requires it, and the single stockholder is by default its sole director and president","Banks and pre-need companies may freely incorporate as OPCs","It is required to submit and file corporate bylaws","B","An OPC is not required to have a minimum capital stock unless otherwise provided by law, need not submit bylaws, and its single stockholder is by default the sole director and president; banks, insurance, pre-need, and similar entities cannot form OPCs.","2"
"RFBT","Revised Corporation Code","An emergency board action is needed because a quorum of directors cannot be assembled and there is an imminent grave danger to the corporation. Who may be designated to act?","Any stockholder appointed by the SEC","The corporate secretary acting alone","A court-appointed receiver","A temporary director chosen from among the officers, by unanimous vote of the remaining directors, limited to the emergency action","D","Under the RCC, when a vacancy prevents a quorum and there is an emergency requiring immediate action, the remaining directors may unanimously designate an officer as a temporary director to act only for the specific emergency action.","3"
"RFBT","Revised Corporation Code","A stockholder seeks to inspect the corporate books. The corporation refuses, claiming the request is for an improper purpose. Who bears the burden, and what is the consequence of unjustified refusal?","The stockholder must obtain a court order before any inspection","The corporation bears the burden of proving the improper purpose, and an officer who unjustifiably refuses may be held liable for damages and penalties","The stockholder bears the burden of proving a proper purpose in all cases","Inspection may be refused for any reason at the board's discretion","B","The right of inspection is broad; when refusal is challenged, the corporation has the burden of proving that the stockholder acted in bad faith or for an illegitimate purpose, and unjustified refusal exposes responsible officers to liability.","3"
"RFBT","Revised Corporation Code","A voting trust agreement is executed transferring shares to a trustee. What is the maximum period for which such an agreement may be effective under the RCC, absent a specific exception?","Three years","Ten years","Five years at any one time","Perpetual","C","A voting trust agreement may not exceed five years at any one time, except when made a condition in a loan agreement, in which case it may last for the duration of the loan.","2"
"RFBT","Revised Corporation Code","A corporation amends its articles of incorporation. When does the amendment take effect?","Immediately upon board approval alone","Upon publication in a newspaper of general circulation","Upon approval by the SEC, or if not acted upon within six months from filing for a cause not attributable to the corporation, from the date of filing","Upon the next annual stockholders meeting","C","An amendment to the articles of incorporation takes effect upon approval by the SEC, or if not acted upon within six months from the date of filing for a cause not attributable to the corporation, from the date of filing.","2"
"RFBT","Revised Corporation Code","Distinguish the vote required to amend the articles of incorporation from the vote to amend the bylaws (without a delegated power to the board).","Both require two-thirds of the outstanding capital stock","Articles require two-thirds of the outstanding capital stock, while bylaws require a majority of the outstanding capital stock","Both require a majority of the outstanding capital stock","Articles require a majority and bylaws require two-thirds","B","Amendment of the articles of incorporation requires majority board approval and the vote of stockholders owning two-thirds of the outstanding capital stock, whereas amendment of bylaws requires majority board approval and a majority of the outstanding capital stock.","3"
"RFBT","Revised Corporation Code","Redeemable shares were issued by a corporation. Which statement is correct about them?","They may never be redeemed if it would impair capital, in all cases","They are the same as treasury shares from issuance","They may be purchased or taken up by the corporation upon the expiration of a fixed period regardless of the existence of unrestricted retained earnings, if so provided","They always carry mandatory voting rights","C","Redeemable shares may be purchased by the corporation upon the expiration of a fixed period as stated in the articles and certificate, even without unrestricted retained earnings, provided the corporation has sufficient assets to cover debts and liabilities after redemption.","3"
"RFBT","Revised Corporation Code","A minority stockholder sues in the corporation's name to redress a wrong done to the corporation, after the board refused to act. This action is a:","Individual suit","Representative suit","Class suit for personal injury","Derivative suit","D","A derivative suit is brought by a stockholder on behalf of and for the benefit of the corporation to redress a wrong committed against it, where the board itself fails or refuses to sue; any recovery accrues to the corporation.","2"
"RFBT","Insurance Code","Because an insurance contract is generally prepared by the insurer with terms the insured merely adheres to, any ambiguity in the policy is construed:","In favor of the insurer","Against the insurer that drafted it","Strictly against the insured","Liberally in favor of forfeiture","B","An insurance policy is a contract of adhesion; its ambiguous provisions are interpreted strictly against the insurer who prepared the contract and liberally in favor of the insured to effect coverage.","1"
"RFBT","Insurance Code","Ramon takes out a life insurance policy on his own life. To what extent must he show insurable interest?","His interest in his own life is unlimited, so no pecuniary measure is required","He must prove a pecuniary interest equal to the face amount","He must show he has dependents","He has no insurable interest in his own life","A","Every person has an unlimited insurable interest in his own life and may insure it for any amount; the requirement of a pecuniary or measurable interest applies when insuring the life of another.","2"
"RFBT","Insurance Code","Sofia insures the life of her business debtor in whom she has a pecuniary interest. When must this insurable interest exist?","At the time of death only","At the time the policy takes effect, but it need not exist at the time of the insured's death","At both inception and death","At no particular time","B","In life insurance, insurable interest must exist when the policy takes effect but need not exist at the time of loss or death; in property insurance, the interest must exist both at inception and at the time of loss.","2"
"RFBT","Insurance Code","Teresa insured her warehouse against fire. She sold the warehouse before it burned down. May she recover on the fire policy?","Yes, because the policy was valid at inception","Yes, because she paid all premiums","No, because property policies are never assignable","No, because in property insurance insurable interest must exist both when the policy attaches and when the loss occurs","D","In property insurance, the insured must have an insurable interest both at the time the insurance takes effect and at the time of the loss; having parted with ownership before the fire, Teresa cannot recover.","2"
"RFBT","Insurance Code","Under the general rule on premium payment in non-life insurance, when does the insurer become liable?","Upon mere agreement to insure even without premium payment","Sixty days after the policy is issued regardless of payment","Only after the first loss occurs","Only upon actual payment of the premium, under the cash-and-carry principle, subject to recognized exceptions","D","The general rule is cash-and-carry: no policy is valid and binding unless the premium is paid, subject to exceptions such as a grace period in life insurance, a credit term granted, estoppel, or a written acknowledgment of receipt of premium.","2"
"RFBT","Insurance Code","Applicant Ulrich failed to disclose a material fact he knew, which the insurer would have considered in fixing the premium or accepting the risk. This is:","Concealment, which entitles the injured party to rescind the contract","A mere innocent representation with no effect","A breach of warranty curable by tender","Permissible because there was no fraud","A","Concealment is the neglect to communicate that which a party knows and ought to communicate; whether intentional or unintentional, concealment of a material fact entitles the injured party to rescind the contract.","2"
"RFBT","Insurance Code","A life insurance policy has been in force for more than two years during the insured's lifetime. The insurer later discovers a concealment. May it still rescind on that ground?","Yes, concealment always voids the policy regardless of time","Yes, but only within five years","No, the incontestability clause bars the insurer from rescinding for concealment or misrepresentation after the policy has been in force for two years during the insured's lifetime","No, only if the premiums were fully paid","C","Under the incontestability clause, after a life insurance policy has been in force during the lifetime of the insured for at least two years, the insurer can no longer rescind on the ground of concealment or misrepresentation, except for excepted defenses like non-payment of premiums.","2"
"RFBT","Insurance Code","Victor named his sister as beneficiary in his life policy without stating that the designation is irrevocable. What is the legal presumption?","The designation is revocable, so Victor may change the beneficiary without the sister's consent","The designation is irrevocable and cannot be changed","The designation is void for lack of insurable interest","The sister must consent before any premium is paid","A","Unless the insured expressly waives the right to revoke, the designation of a beneficiary is presumed revocable, allowing the insured to change the beneficiary without the latter's consent.","2"
"RFBT","Insurance Code","Wilma insured the same building against the same fire risk with three different insurers for the same interest. This situation is:","Reinsurance, which is valid only with the insured's consent","Over-insurance that automatically voids all the policies","Double insurance, where the insured may recover only up to the actual loss, with insurers contributing pro rata","Co-insurance that doubles the recoverable amount","C","Double insurance exists when the same person is insured by several insurers separately for the same subject and interest; the insured cannot recover more than the actual loss, and the insurers share the loss pro rata.","2"
"RFBT","Insurance Code","After paying a fire claim, the insurer of Xavier seeks to step into his rights against the third party whose negligence caused the fire. This right is:","Reinsurance, requiring a separate contract","Available in life insurance as well","Barred because the insured was paid in full","Subrogation, which arises by operation of law upon payment in property insurance","D","Upon payment of a property loss, the insurer is subrogated to the rights of the insured against the wrongdoer to the extent of the indemnity paid; subrogation does not apply to life insurance, which is not a contract of indemnity.","2"
"RFBT","Insurance Code","An insured peril and an excepted peril concur to cause a loss. Under the doctrine of proximate cause, when is the insurer liable?","When the proximate cause of the loss is the peril insured against, even if a remote cause is excepted","Whenever any contributing cause is covered","Only when the excepted peril is wholly absent","Never, if any excepted peril is present in the chain","A","The insurer is liable when the proximate or efficient cause of the loss is a peril insured against; a remote excepted cause does not defeat recovery if the immediate efficient cause is covered.","3"
"RFBT","Insurance Code","Yolly, the insured under a life policy, intentionally took her own life one month after the policy was issued, and the policy contained no suicide clause extending coverage. What is the general rule?","The insurer is always liable for suicide regardless of timing","The insurer is not liable where the insured commits suicide within the period the law or policy allows the insurer to deny the claim and there was no insanity","Suicide voids the policy in all circumstances","The beneficiary recovers only the premiums paid","B","As a rule, the insurer is liable when suicide is committed after the policy has been in force for two years, or is committed in a state of insanity; otherwise, where the loss is the willful act of the insured, the insurer is not liable.","3"
"RFBT","Insurance Code","Insurer Alpha cedes part of a risk it underwrote to Insurer Beta. As to the original insured, what is the nature of this arrangement?","It is double insurance binding the insured","It transfers the insured's claim directly to Beta","It is reinsurance, a contract between insurers to which the original insured is not a party and on which he has no claim against the reinsurer","It requires the insured's prior written consent to be valid","C","Reinsurance is a contract by which one insurer insures the risk it has assumed with another insurer; it is independent of the original policy, and the original insured has no interest in or right of action under the reinsurance contract absent stipulation.","2"
"RFBT","Securities Regulation & Cooperatives","A promoter offers investors a scheme where they contribute money to a common enterprise and expect profits solely from the efforts of the promoter. Under the Howey test as applied to the SRC, this is:","Not a security because no stock certificate is issued","A simple loan exempt from regulation","An investment contract, which is a security subject to registration","A commercial paper outside SEC jurisdiction","C","An investment contract exists where there is an investment of money in a common enterprise with the expectation of profits primarily from the efforts of others; it is a security under the SRC and is subject to registration unless exempt.","2"
"RFBT","Securities Regulation & Cooperatives","Which of the following is an exempt transaction under the SRC that does not require registration of the securities?","The sale of securities to fewer than twenty persons in the Philippines during any twelve-month period","An initial public offering to the general public","The continuous public sale of securities through a broker","Any sale of shares of a listed company","A","Among exempt transactions are isolated transactions, the distribution of stock dividends, and sales to fewer than twenty persons in the Philippines during any twelve-month period (private placement), which do not require registration.","2"
"RFBT","Securities Regulation & Cooperatives","Two traders enter matched buy and sell orders for the same security at the same time to create a misleading appearance of active trading. This prohibited practice is:","Legitimate market making","A permissible block trade","A bona fide tender offer","A manipulative device involving matched orders or wash sales","D","Wash sales and matched orders involve transactions that create a false or misleading appearance of active trading or of the market for a security; they are prohibited manipulative practices under the SRC.","2"
"RFBT","Securities Regulation & Cooperatives","A corporate insider possesses material nonpublic information about his company. Under the SRC, what must he do before trading in the company's securities?","Trade immediately before the information becomes public","Disclose the information to the public or abstain from trading","Inform only the board of directors","Obtain SEC clearance for each trade","B","An insider in possession of material nonpublic information must either disclose it to the investing public or abstain from trading; trading while in possession of such information constitutes prohibited insider trading.","2"
"RFBT","Securities Regulation & Cooperatives","Mandatory tender-offer rules under the SRC are triggered when a person intends to acquire what level of equity in a public company?","At least ten percent at any time","Any acquisition of voting shares","At least thirty-five percent of the outstanding equity in a twelve-month period, or an acquisition that results in ownership of more than fifty percent","Only a one hundred percent buyout","C","A mandatory tender offer is required when a person intends to acquire at least thirty-five percent of outstanding equity securities in a public company within a twelve-month period, or such percentage that results in ownership of more than fifty percent of the total outstanding equity.","3"
"RFBT","Securities Regulation & Cooperatives","Under the Cooperative Code (RA 9520), what is the minimum number of natural persons required to organize a primary cooperative?","At least five natural persons","At least three natural persons","At least twenty natural persons","At least fifteen natural persons","D","A primary cooperative may be organized by at least fifteen natural persons who are Filipino citizens, of legal age, with a common bond of interest, and it must register with the Cooperative Development Authority to acquire juridical personality.","1"
"RFBT","Securities Regulation & Cooperatives","In a primary cooperative, how is voting power allocated among members?","One member, one vote, regardless of the number of shares held","In proportion to the number of shares held","By the amount of patronage during the year","By seniority of membership","A","A fundamental cooperative principle is democratic control: in a primary cooperative each member is entitled to only one vote regardless of shareholdings, distinguishing it from a stock corporation.","1"
"RFBT","Securities Regulation & Cooperatives","Under RA 9520, what is the maximum share capital that a single member may hold in a cooperative?","Not more than fifty percent","Not more than ten percent of the share capital of the cooperative","No limit applies","Not more than twenty-five percent","B","To preserve the cooperative character and prevent control by a few, no member may own or hold more than ten percent of the share capital of the cooperative.","2"
"RFBT","Securities Regulation & Cooperatives","From the net surplus of a cooperative, which statutory fund must receive an allocation of at least ten percent?","The reserve fund","The patronage refund fund","The optional fund only","Interest on share capital","A","The Cooperative Code requires that the net surplus be apportioned to statutory funds: at least ten percent to the reserve fund, an amount to the education and training fund, an optional fund, and the balance to interest on share capital and patronage refunds.","2"
"RFBT","Securities Regulation & Cooperatives","A cooperative seeks to enjoy tax exemption under RA 9520. Which condition is generally relevant to that exemption?","Earning profits exclusively from non-members","Maintaining a minimum of one hundred members","Compliance with registration and the cooperative's transactions, with accumulated reserves and undivided net savings within the limits set by law","Listing its shares on the stock exchange","C","Duly registered cooperatives dealing principally with members enjoy tax exemptions; the extent depends on compliance with the Code, including limits on accumulated reserves and undivided net savings as provided by law and regulations.","3"
